day,start_time,venue,title,speaker,tag 1,tag 2
Friday,14:00,Tea Hut,Andhra Notkodi Kura,Mohan Kishore,food-demo,
Friday,15:00,Tea Hut,Rasmalai Curries,Soma,food-demo,
Friday,16:00,Tea Hut,Non-Veg Curries but Vegan,Narhari,food-demo,
Friday,17:00,Tea Hut,Vegan Egg Salad,Shikhar,food-demo,
Friday,18:30,Tea Hut,-Dinner-,,meal,
Friday,20:00,Tea Hut,Solo Acoustic Set,Vineeth Vincent,music,
Friday,21:00,Tea Hut,Indian Pop Music,DJ Jazzy G,music,
Friday,08:30,Main Hut,-Breakfast-,,meal,
Friday,11:00,Main Hut,Stillness in Motion,Archanana,movement,wellness
Friday,11:30,Main Hut,5 Steps: Live 10 Years Longer,Dr Eswar,talk,wellness
Friday,12:30,Main Hut,-Lunch-,,meal,
Friday,14:00,Main Hut,A Word with Mr World,Dr Ashu,talk,
Friday,15:00,Main Hut,Beyond the Summit,Kuntal,talk,
Friday,16:00,Main Hut,Compassionate Society,Aviram + Jazz,talk,community
Friday,17:00,Main Hut,Animal Laws in India,Sai Vignesh,talk,activism
Friday,18:00,Main Hut,Seantience Movie,Documentary,movie,
Friday,20:00,Main Hut,Collaborative Games for Kids,Nitin,kids,community
Friday,11:00,Mind & Body,Reconnect with Yourself,Rainee,wellness,meditation
Friday,12:00,Mind & Body,Salutation to the Earth,Annette,meditation,nature
Friday,14:00,Mind & Body,Connecting w/ Animals,Gargi,talk,wellness
Friday,15:00,Mind & Body,Love Yourself,Ritika Gupta,wellness,
Friday,16:00,Mind & Body,Grow Microgreens,Utsav,workshop,nature
Friday,17:00,Mind & Body,Somatic Mindful Movements,Abharna,movement,wellness
Friday,10:30,Speaker Hut,The Power of Upcycling,Arpitha,talk,activism
Friday,11:30,Speaker Hut,An Exponential Impact on Your Life,Chida,talk,
Friday,14:00,Speaker Hut,Power of Community,Abhinav Ubuntu,talk,community
Friday,15:00,Speaker Hut,Human Nature Decides Human Food,Darryl,talk,
Friday,16:00,Speaker Hut,Compassion Begins in the Womb,Shalini,talk,
Friday,17:00,Speaker Hut,Building Resilience as a Woman,Jeewan,talk,wellness
Friday,17:30,Speaker Hut,Vegan Strength & Muscle Training,Amal,fitness,talk
Friday,10:00,Mud Pool,Sound Bath,Annette,meditation,wellness
Friday,15:00,Mud Pool,Zumba,Ashija,dance,fitness
Friday,16:00,Mud Pool,Bhangra Dance,Ashish,dance,
Friday,17:00,Mud Pool,Ecstatic Dance,DJ Mahaa,dance,
Friday,20:00,Mud Pool,Psytrance,Jeevan Basha,music,dance
Friday,21:00,Mud Pool,Psychill,Vyomanaut,music,
Friday,22:30,Mud Pool,Reggae,Rakesh,music,
Friday,11:00,The Circle,Speed Friending,Dhaval,community,
Friday,14:00,The Circle,Nature Walk for Kids,Naresh,kids,nature
Friday,14:30,The Circle,Movement,"Mindset. Nutrition, movement	wellness",Nutrition,Sandeep
Friday,15:30,The Circle,Happy Childlike Body Movements,Sravani,movement,kids
Friday,16:30,The Circle,Tree Planting,Naeem,nature,community
Friday,14:00,Banyan Tree,Jam Session,Everyone,music,community
Friday,15:30,Banyan Tree,Awareness Through Theatre,Shivayy,arts,
Friday,16:30,Banyan Tree,Community Rhythm Circle,Pratham,music,community
Friday,14:00,City Meetup Circle,Madurai,You,meetup,community
Friday,15:00,City Meetup Circle,Visakhapatnam,You,meetup,community
Friday,16:00,City Meetup Circle,Vijayawada,You,meetup,community
Friday,17:00,City Meetup Circle,Goa,You,meetup,community
Saturday,06:30,Main Hut,Dances of Universal Peace,Madhuri,dance,meditation
Saturday,08:30,Main Hut,-Breakfast-,,meal,
Saturday,10:00,Main Hut,Unschooling & Connection,Yorit + Shalev,talk,
Saturday,11:00,Main Hut,Khane Se Pehle Label Padho,Rainee,talk,
Saturday,12:30,Main Hut,-Lunch-,,meal,
Saturday,14:00,Main Hut,Effective Online Activism,Amy + Jamie,talk,activism
Saturday,15:00,Main Hut,Power of Functional Nutrition,Upasana,talk,wellness
Saturday,16:00,Main Hut,Health: Listening to the Body,Dr Nandita,talk,wellness
Saturday,17:00,Main Hut,Panel,Amy,Jamie + Dr Rao,talk
Saturday,20:00,Main Hut,Trashon Show,,arts,
Saturday,06:30,Mind & Body,Om Chanting,Annette,meditation,
Saturday,07:30,Mind & Body,Vinyasa Yoga,Pradaini,yoga,
Saturday,10:00,Mind & Body,Loving Your Body,Bhavna Kapoor,wellness,
Saturday,11:00,Mind & Body,Breathwork,Swati Dhariwal,meditation,
Saturday,12:00,Mind & Body,Eye Yoga,Annette,yoga,
Saturday,14:00,Mind & Body,Yogic Breath Waves,April,meditation,
Saturday,14:30,Mind & Body,Compassion,Stuti Parekh,talk,
Saturday,15:30,Mind & Body,Next Gen: Womb to World,Chaitali,talk,
Saturday,16:00,Mind & Body,Breathwork,Ketaki,meditation,
Saturday,17:00,Mind & Body,Yoga Nidra: Rewiring,Pradaini,yoga,meditation
Saturday,07:00,Speaker Hut,Vinyasa Flow,Nikita Solanki,yoga,
Saturday,07:30,Speaker Hut,Vinyasa Flow,Jamie Logan,yoga,
Saturday,08:00,Speaker Hut,Accutapping,Nikita Solanki,wellness,
Saturday,10:00,Speaker Hut,Ahimsa & Yogic Principles,Jamie,talk,
Saturday,11:00,Speaker Hut,Reclaim Your Health,Anitha,talk,wellness
Saturday,12:00,Speaker Hut,Plant-Based in Schools,Pooja,talk,
Saturday,14:00,Speaker Hut,Veganism & Eco-Restoration,Mike Roy,talk,nature
Saturday,15:00,Speaker Hut,Reverse Autoimmune Disease,Swati,talk,wellness
Saturday,16:00,Speaker Hut,Sustainable Fashion,Meenakshi,talk,
Saturday,17:00,Speaker Hut,Optimizing Health,Abhishek Thevar,talk,wellness
Saturday,06:30,Speaker Hut,Full Body Vinyasa Flow,Geetha,yoga,fitness
Saturday,07:30,The Circle,Hatha Yoga,Samrudhi,yoga,
Saturday,10:00,The Circle,Immersive Watercolour,Sayli Mokal,arts,
Saturday,10:00,The Circle,Sound Bath,Jamie Annette,meditation,
Saturday,11:00,The Circle,Guide: Plant-Based Women,Shyamala,talk,
Saturday,12:00,The Circle,Let's Segregate,Muskan Goidani,talk,
Saturday,14:00,The Circle,Dot Mandala,Sapna,arts,
Saturday,15:30,The Circle,Nutrition Psychiatry,Geet Pandey,talk,wellness
Saturday,16:00,The Circle,Rewilding Connection,Deepak,talk,nature
Saturday,17:00,The Circle,A Kind Lifestyle,Nirmala Naresh,talk,
Saturday,07:30,Mud Pool,,,,
Saturday,15:00,Mud Pool,Dance of the Chakras,Lakshmi,dance,
Saturday,16:00,Mud Pool,Bollywood Dance,Ritika Gupta,dance,
Saturday,17:00,Mud Pool,Reggae,Rakesh,music,
Saturday,20:00,Mud Pool,Progressive Dance,Groove Baba,dance,
Saturday,22:00,Mud Pool,Psytrance,Jeevan Basha,music,dance
Saturday,23:00,Mud Pool,Downtempo Jam Session,Vyomanaut,music,
Saturday,14:00,Banyan Tree,Jam Session,Everyone,music,community
Saturday,15:30,Banyan Tree,Awareness Through Theatre,Shivayy,arts,
Saturday,10:00,City Meetup Circle,Bengaluru,You,meetup,community
Saturday,11:00,City Meetup Circle,Puducherry,You,meetup,community
Saturday,12:00,City Meetup Circle,Madhya Pradesh,You,meetup,community
Saturday,14:00,City Meetup Circle,Delhi,You,meetup,community
Saturday,15:00,City Meetup Circle,Chennai,You,meetup,community
Saturday,16:00,City Meetup Circle,Hyderabad,You,meetup,community
Saturday,17:00,City Meetup Circle,Kerala,You,meetup,community
Sunday,06:30,Tea Hut,Wake up Your Body with Love,Jivi,fitness,movement
Sunday,07:30,Tea Hut,Calisthenics,Charitardh Varma,fitness,
Sunday,10:00,Tea Hut,Vegan Keema Biryani,Vikas,food-demo,
Sunday,11:00,Tea Hut,Instant Vegan Pizza,Tasneem,food-demo,
Sunday,12:00,Tea Hut,Curd Rice,Varun Sharma,food-demo,
Sunday,06:30,Main Hut,Yoga Philosophy & Asana,Sravani,yoga,talk
Sunday,07:30,Main Hut,Yogasana Class,Abharna,yoga,
Sunday,08:30,Main Hut,-Breakfast-,,meal,
Sunday,10:00,Main Hut,Veganism & Feminism,Dr Rashmi,talk,
Sunday,11:00,Main Hut,Kickstart Vegan Initiatives,Sebastian,talk,activism
Sunday,12:00,Main Hut,Sentience & Non-Violence,Jonathan,talk,
Sunday,12:30,Main Hut,-Lunch-,,meal,
Sunday,14:00,Main Hut,Keeping The Pinky Promise,Dr Sailesh Rao,talk,
Sunday,17:00,Main Hut,-Dinner-,,meal,
Sunday,06:30,Mind & Body,Om Chanting,Annette,meditation,
Sunday,07:00,Mind & Body,Inner Child Healing,Olga,wellness,
Sunday,10:00,Mind & Body,Live to 100: Grow Strong,Varun Sharma,talk,wellness
Sunday,11:00,Mind & Body,How to Grow Microgreens Pt 2,Utsav,workshop,nature
Sunday,11:30,Mind & Body,Wild Food: Forest Gardening,Rakesh,talk,nature
Sunday,07:30,Speaker Hut,Posture Reset with Yoga,Pratyush,yoga,
Sunday,10:00,Speaker Hut,Gentle Parenting,Abhilash + Sandhya,talk,kids
Sunday,10:45,Speaker Hut,Being Vegan in Your 20s,Ayan,talk,
Sunday,11:30,Speaker Hut,My Journey with Food,Shalev,talk,
Sunday,07:00,Mud Pool,Collaborative Free Flow,Dhivyesh,movement,
Sunday,07:30,Mud Pool,Strength Flow,Nitin Sevak,fitness,movement
Sunday,10:00,Mud Pool,Sound Bath,Annette,meditation,
Sunday,11:00,Mud Pool,Joyful Nature Dance,Misha,dance,nature
Sunday,07:30,The Circle,Posture Correction Mobility,Prathiksha,movement,
Sunday,10:00,The Circle,Water Conservation (walk),Aviram,nature,
Sunday,11:00,The Circle,Healing Ourselves & Earth,Gauri,talk,wellness
Sunday,11:30,The Circle,Sustainable Vegan Events,Aravindan,talk,activism
Sunday,14:00,The Circle,Nature Walk for Kids,Naresh,kids,nature
Sunday,10:00,Banyan Tree,Awareness Through Theatre,Shivayy,arts,
Sunday,11:00,Banyan Tree,Jam Session,Everyone,music,community
Sunday,10:00,City Meetup Circle,Mumbai,You,meetup,community
Sunday,11:00,City Meetup Circle,Pune,You,meetup,community
Sunday,11:30,City Meetup Circle,Kolkata,You,meetup,community
Sunday,12:00,City Meetup Circle,Gujarat,You,meetup,community